V;generique;;;;
V;nuggets;;;;
N;PARMI CES EXPRESSIONS, LAQUELLE NE VENT PAS DRE QUE NOTRE FUTURE MARiÉ A MAUVAISE HALEiNE?;A_PLOMBER LA GARGOLENNE;BI TAPER DU SALADIER;AVOIR UNE TRICHINE DANS LE JAMBONNEAUD;AVOIR LE CUL DERRiVRE LES DENTS;
N	POURQUOI SE MARiER À L'EGLiDE DE ViLLENEUVE-LES- MAGUELONE?	 LES AUTOCARS BOLLADOL SONT LE MOLEN DE TRANSPORT DE PREDiLECTiON DE LA PAROISSE DE ViLLENDUE, DONNANT AiNSi DE NOMBREUX AVANTAGE.	PARCEQUE ON URAI, C'EST LE MOiNS CHiANT ET LE PUS PRATiQUE POUR TOLT LE MONIE, EN PLUS C'EST LA FERiA DES VENDANGES	PARCEQUE LES PARDiSSES ALENTOURS ONT CONSiDERES QUE LES FUTURS MARiES ETAiENT UNE TERRE ROCAiNEUSE POUR LA FOI 	FOLKLORE FAMiLiAL
N	SELON L'EXPRESSiON "NANOU SE LA PETÉ", aLE SE PÈTE QUOI?	LA CHEViLLE BILA BRETELLE CELA FORME	SiX FOLiNES AU CALME DANS UN HALL DIMMOUBLE		
N	QUE QUEL EST LE PUIS GRAND MUSTERE SELON NANOU?	POURQUO LES CHASETTES DiSPARAISSENT APRES LA LESSLUE	POURQUOL APRES DES ANNEES ELLE CONTINUE DETRE SURPRiSE QUAND KEVIN Li FAiT POUR	OURQUO ELLE A UNE COLLECTION E CHAUSAURE ET ELLE PORTE TOLITOURS LEB MÊME	POURQUOL SES GATEAUX ZONT BONS MAiS PAS BEAUX K
V	sel-ou-poivre				
S	RÉDUCTION, RAiE DU CUL OU LES 2?				
I	SEL OU POIVRE	« Film de maths » ou « Film sans maths »  ?	https://www.desmarets.eu/jeux/burgerquiz/films/Film01.jpg		
S	UN MARiAGE, UN ENTERREMENT Ou LES 2?				
I	SEL OU POIVRE	« Film de maths » ou « Film sans maths »  ?	https://www.desmarets.eu/jeux/burgerquiz/films/Film05.jpg		
V	menus				
L	Menu 1 : HOMMES, FEMMES, TOUT (ES) PAREiL(LES)	Menu 2 : MENU POUR LES LOVERS	Menu 3 :VASISTAS, CETTE PETITE FENÊTRE QUI, MALGRÉ SA TAILLE, FAIT TOUT SON POSSIBLE POUR NOUS FAIRE ADMIRER LA BEAUTÉ DU MONDE, UN PEU COMME NOTRE FUTUR MARIÉE		
M	Menu 1 : HOMMES, FEMMES, TOUT (ES) PAREiL(LES)	Comment peut-on utiliser ses doigts pour connaitre la table de multiplication de 9 ?			
M	Menu 1 : HOMMES, FEMMES, TOUT (ES) PAREiL(LES)	Comment peut-on savoir facilement si un nombre entier est divisible par 4 ?			
M	Menu 1 : HOMMES, FEMMES, TOUT (ES) PAREiL(LES)	Quelle astuce permet de multiplier facilement un nombre à deux chiffres par 11 ?			
M	Menu 1 : HOMMES, FEMMES, TOUT (ES) PAREiL(LES)	Quel est le nombre égal à 204 élevé au carré ?			
M	Menu 1 : HOMMES, FEMMES, TOUT (ES) PAREiL(LES)	Quel nombre décimal s'écrit 10000001 en binaire ?			
M	Menu 2 : MENU POUR LES LOVERS	Comment appelle-t-on un polygone à sept côtés ?			
M	Menu 2 : MENU POUR LES LOVERS	Que vaut la somme des mesures des angles d'un triangle ?			
M	Menu 2 : MENU POUR LES LOVERS	Quel parallélogramme particulier a ses diagonales perpendiculaires ?			
M	Menu 2 : MENU POUR LES LOVERS	Combien de litres peut contenir un cube de 5 cm de côté ?			
M	Menu 2 : MENU POUR LES LOVERS	A vue de nez, combien je mesure au centimètre près ?			
V	addition				
A	C'EST UN PEU COMME	Donnée en quittant le restaurant	addition		
V	burger-mort				
B	Combien ne font pas 6 fois 4 ?				
B	Multipliez les chiffres de votre numéro de téléphone par 2020.<br />Si vous n'y arrivez pas, dites « J'appelle en masqué ! ».				
B	Selon vous, quel chiffre est le plus coloré ?				
B	J'ai une blague : un mathématicien va aux toilettes, il fait…				
B	Et multiplié par R au carré divisé par Pi, on obtient quoi ?<br />Si vous ne savez pas, répondez « j'en sais R ».				
B	Dans un losange, quel côté est le plus long ?				
B	Combien de nombres avez-vous déjà rencontrés dans votre vie ?<br />Moins de cent ou plus de mille ?				
B	Combien de chiffres différents contient la partie décimale du nombre Pi ?				
B	De Pythagore ou Thalès, lequel vous fait le plus craquer ?				
B	Citez une notion à laquelle vous n'avez jamais rien compris en maths…				
